;Nama Produk;Harga;URL Gambar;Link Produk;;
131;Banara Ethnic Black;Rp. 225.000;https://hijab.id/tm_images/produk/thumb/4d030e121e7f61f1.jpg;https://hijab.id/detail-produk/banara-ethnic-black-592-1.php;;
132;Asoka Seaweed;Rp. 225.000;https://hijab.id/tm_images/produk/thumb/6a0cb9d0b70da814.jpg;https://hijab.id/detail-produk/asoka-seaweed-359-1.php;;
133;Water Color Navy;Rp. 225.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/water-color-navy-812-1.php;;
134;Water Color Purple;Rp. 225.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/water-color-purple-811-1.php;;
135;Water Color Green;Rp. 225.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/water-color-green-810-1.php;;
136;Water Color Black;Rp. 225.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/water-color-black-809-1.php;;
137;Japan Cream;Rp. 225.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/japan-cream-800-1.php;;
138;Japan Nude Pink;Rp. 225.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/japan-nude-pink-798-1.php;;
139;Japan Blue;Rp. 225.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/japan-blue-797-1.php;;
140;Fuji Peach;Rp. 202.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/fuji-peach-786-1.php;;
141;Fuji Grey;Rp. 202.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/fuji-grey-785-1.php;;
142;Gingham Dress Grey;Rp. 425.000;https://hijab.id/tm_images/produk/thumb/ae20114222d6655f.jpg;https://hijab.id/detail-produk/gingham-dress-grey-874-1.php;;
143;Gingham Dress Tosca;Rp. 425.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/gingham-dress-tosca-876-1.php;;
144;Gingham Dress Peony;Rp. 425.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/gingham-dress-peony-875-1.php;;
145;Dira Long Tunic Pink (Renda);Rp. 419.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/dira-long-tunic-pink-renda-828-1.php;;
146;Dira Long Tunic Pink ;Rp. 379.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/dira-long-tunic-pink-827-1.php;;
147;Dira Long Tunic Sage;Rp. 379.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/dira-long-tunic-sage-806-1.php;;
148;Dira Long Tunic Cream;Rp. 377.100;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/dira-long-tunic-cream-805-1.php;;
149;Dira Long Tunic Brown;Rp. 377.100;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/dira-long-tunic-brown-804-1.php;;
150;Dira Long Tunic Black;Rp. 419.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/dira-long-tunic-black-803-1.php;;
151;Zea Long Outer;Rp. 425.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/zea-long-outer-668-1.php;;
152;Hajjar Dress;Rp. 378.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/hajjar-dress-660-1.php;;
153;Zeline Plisket Dress;Rp. 625.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/zeline-plisket-dress-525-1.php;;
154;Ainun Dress Navy Black;Rp. 275.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/ainun-dress-navy-black-463-1.php;;
155;Ainun Dress Mustard ;Rp. 275.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/ainun-dress-mustard-462-1.php;;
156;Ainun Dress Peach ;Rp. 275.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/ainun-dress-peach-461-1.php;;
157;Raya Dress;Rp. 750.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/raya-dress-444-1.php;;
